"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"246",".@ChicagosMayor, ensure reparations for all #Chicago torture survivors NOW! #RahmRepNow via @JasminitaMH http://t.co/RpZ3M6es1G",FALSE,91,NA,2014-12-16 20:10:05,FALSE,NA,"544947592501547009",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",117,FALSE,FALSE,NA,NA
"247","It’s time for @ChicagosMayor to declare full support for reparations for police torture survivors! #RahmRepNow http://t.co/zazBdXDCgs",FALSE,24,NA,2014-12-16 20:01:56,FALSE,NA,"544945541235638273",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",49,FALSE,FALSE,NA,NA
"248","Tens of thousands signatures demand justice for the survivors of #Chicago Police torture today. #RahmRepNow http://t.co/aU9LKRsIhq",FALSE,62,NA,2014-12-16 18:51:09,FALSE,NA,"544927727510638592",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",121,FALSE,FALSE,NA,NA
"249","#Iran: Alleged juvenile offender among 10 hunger strikers threatened with immediate execution. http://t.co/uUT9VdNpcI http://t.co/1Rg9bh12IW",FALSE,61,NA,2014-12-16 16:39:13,FALSE,NA,"544894526603939841",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",381,FALSE,FALSE,NA,NA
"250","#Pakistan: There can be absolutely no justification for targeting children in this way. http://t.co/bqmTYvDrIP http://t.co/DYDy7IvLmm",FALSE,1023,NA,2014-12-16 14:21:45,FALSE,NA,"544859931175030785",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",2359,FALSE,FALSE,NA,NA
"251","At least 126 people, mostly children, killed in #Pakistan Taliban attack on Peshawar school. http://t.co/fdVGOGSGP5 via @BBCNews",FALSE,56,NA,2014-12-16 11:29:40,FALSE,NA,"544816626424872960",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",322,FALSE,FALSE,NA,NA
"252","@spandlegax http://t.co/supVx5mwJc",FALSE,0,"spandlegax",2014-12-16 06:28:54,FALSE,"544732945366671360","544740936379826176","61025402","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"253","What’s behind the arrests of 27 journalists, press &amp; media figures in #Turkey? http://t.co/DkV7jS1pas http://t.co/xkH5GvYQMZ",FALSE,86,NA,2014-12-15 23:56:33,FALSE,NA,"544642196444839936",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",256,FALSE,FALSE,NA,NA
"254","@RobertBulechek Thanks for your support, Robert!",FALSE,0,"RobertBulechek",2014-12-15 23:25:49,FALSE,"544615422029750272","544634462559277056","391704003","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"255","@jebelmoon Thanks so much for your support, Daryn!",FALSE,0,"jebelmoon",2014-12-15 23:25:35,FALSE,"544590674687840256","544634403180531713","20405886","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"256","#Chicago police tortured 100+ people, all men &amp; women of color. Demand justice: http://t.co/h5VIPd3xmc #RahmRepNow http://t.co/bgrFI3cSOP",FALSE,284,NA,2014-12-15 20:24:26,FALSE,NA,"544588818658390016",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",522,FALSE,FALSE,NA,NA
"257","Demand justice for survivors of horrifying &amp; brutal #torture by #Chicago police! #RahmRepNow http://t.co/h5VIPd3xmc http://t.co/RvFsQ9otDT",FALSE,104,NA,2014-12-15 17:24:48,FALSE,NA,"544543608536592385",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",172,FALSE,FALSE,NA,NA
"258","Thousands of women are imprisoned &amp; tortured by #ElSalvador discriminatory law. Act now: http://t.co/ybPY1duMFQ #Write4Rights",FALSE,36,NA,2014-12-15 15:18:44,FALSE,NA,"544511884406587392",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",94,FALSE,FALSE,NA,NA
"259","@GaryCook0598868 Thanks for your support, Gary!",FALSE,0,"GaryCook0598868",2014-12-14 23:36:31,FALSE,"544264997887414272","544274766744801280","840905923","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"260","@treefrog74 Thanks so much for your support, Scott!",FALSE,0,"treefrog74",2014-12-14 23:36:13,FALSE,"543997287915991040","544274692363005952","519935327","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"261","@HowardJones70 Thanks for your support, Howard!",FALSE,0,"HowardJones70",2014-12-14 23:35:54,FALSE,"543360770092695552","544274613153579008","36682061","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
